TKN_PROGRAM	program	1
TKN_LBRACE	{	1
TKN_INT	int	2
TKN_ID	cont	2
TKN_COMMA	,	2
TKN_ID	u	2
TKN_COMMA	,	2
TKN_ID	d	2
TKN_COMMA	,	2
TKN_ID	c	2
TKN_COMMA	,	2
TKN_ID	m	2
TKN_COMMA	,	2
TKN_ID	dm	2
TKN_COMMA	,	2
TKN_ID	r	2
TKN_SEMICOLON	;	2
TKN_ID	cont	3
TKN_ASSIGN	=	3
TKN_NUM	0	3
TKN_SEMICOLON	;	3
TKN_WHILE	while	4
TKN_LPARENT	(	4
TKN_ID	cont	4
TKN_LETHAN	<=	4
TKN_NUM	99999	4
TKN_RPARENT	)	4
TKN_LBRACE	{	4
TKN_ID	dm	5
TKN_ASSIGN	=	5
TKN_ID	cont	5
TKN_DIVISION	/	5
TKN_NUM	10000	5
TKN_SEMICOLON	;	5
TKN_ID	m	6
TKN_ASSIGN	=	6
TKN_LPARENT	(	6
TKN_ID	cont	6
TKN_MINUS	-	6
TKN_ID	dm	6
TKN_PRODUCT	*	6
TKN_NUM	10000	6
TKN_RPARENT	)	6
TKN_DIVISION	/	6
TKN_NUM	1000	6
TKN_SEMICOLON	;	6
TKN_ID	c	7
TKN_ASSIGN	=	7
TKN_LPARENT	(	7
TKN_ID	cont	7
TKN_MINUS	-	7
TKN_ID	dm	7
TKN_PRODUCT	*	7
TKN_NUM	10000	7
TKN_MINUS	-	7
TKN_ID	m	7
TKN_PRODUCT	*	7
TKN_NUM	1000	7
TKN_RPARENT	)	7
TKN_DIVISION	/	7
TKN_NUM	100	7
TKN_SEMICOLON	;	7
TKN_ID	d	8
TKN_ASSIGN	=	8
TKN_LPARENT	(	8
TKN_ID	cont	8
TKN_MINUS	-	8
TKN_ID	dm	8
TKN_PRODUCT	*	8
TKN_NUM	10000	8
TKN_MINUS	-	8
TKN_ID	m	8
TKN_PRODUCT	*	8
TKN_NUM	1000	8
TKN_MINUS	-	8
TKN_ID	c	8
TKN_PRODUCT	*	8
TKN_NUM	100	8
TKN_RPARENT	)	8
TKN_DIVISION	/	8
TKN_NUM	10	8
TKN_SEMICOLON	;	8
TKN_ID	u	9
TKN_ASSIGN	=	9
TKN_LPARENT	(	9
TKN_ID	cont	9
TKN_MINUS	-	9
TKN_ID	dm	9
TKN_PRODUCT	*	9
TKN_NUM	10000	9
TKN_MINUS	-	9
TKN_ID	m	9
TKN_PRODUCT	*	9
TKN_NUM	1000	9
TKN_MINUS	-	9
TKN_ID	c	9
TKN_PRODUCT	*	9
TKN_NUM	100	9
TKN_MINUS	-	9
TKN_ID	d	9
TKN_PRODUCT	*	9
TKN_NUM	10	9
TKN_RPARENT	)	9
TKN_SEMICOLON	;	9
TKN_IF	if	10
TKN_LPARENT	(	10
TKN_ID	dm	10
TKN_EQUAL	==	10
TKN_NUM	3	10
TKN_RPARENT	)	10
TKN_LBRACE	{	10
TKN_ID	dm	11
TKN_ASSIGN	=	11
TKN_NUM	50000	11
TKN_SEMICOLON	;	11
TKN_RBRACE	}	12
